timestamp,open,high,low,close,adjusted close,volume,dividend amount
2010-10-08,135.2300,139.0900,134.3900,138.8500,86.4082,26027000,0.0000
2010-10-01,133.5100,136.2800,133.5100,135.6400,84.4106,30834900,0.0000
2010-09-24,130.2400,134.1500,130.1100,134.1100,83.4584,28357000,0.0000
2010-09-17,128.6300,130.6000,128.4300,130.1900,81.0189,29966700,0.0000
2010-09-10,126.9900,128.2900,125.3900,127.9900,79.6499,16686200,0.0000
2010-09-03,125.0800,127.6000,122.2800,127.5800,79.3947,25097500,0.0000
2010-08-27,127.5700,128.0300,122.4200,124.7300,77.6211,28851700,0.0000
2010-08-20,127.4700,130.1950,126.9600,127.5000,79.3449,24839400,0.0000
2010-08-13,130.7900,132.4900,127.3300,127.8700,79.5752,27721100,0.0000
2010-08-06,129.2500,131.9800,128.7600,130.1400,80.9878,26753600,0.6500
2010-07-30,128.1800,129.5000,127.0400,128.4000,79.5079,29087100,0.0000
2010-07-23,128.6700,130.3800,122.9300,128.3800,79.4955,45328500,0.0000
2010-07-16,127.3700,131.6000,127.1600,128.0300,79.2788,30691500,0.0000
2010-07-09,123.5800,128.2000,122.1700,127.9600,79.2354,22776300,0.0000
2010-07-02,127.6500,129.4700,120.6100,121.8600,75.4582,39925900,0.0000
2010-06-25,131.4200,131.9400,127.1200,127.1200,78.7153,35729700,0.0000
2010-06-18,128.5000,131.2500,128.3400,130.1500,80.5915,34958900,0.0000
2010-06-11,125.5700,128.8000,122.8200,128.4500,79.5389,36446000,0.0000
2010-06-04,124.6900,128.2200,124.2000,125.2800,77.5759,31155200,0.0000
2010-05-28,125.2600,126.3900,121.4700,125.2600,77.5635,40594400,0.0000
2010-05-21,130.6800,131.9900,121.4000,125.4200,77.6626,52738700,0.0000
2010-05-14,126.2700,133.1000,125.0600,131.1900,81.2355,52007600,0.0000
2010-05-07,129.3900,130.1400,116.0000,122.1000,75.6068,43103500,0.6500
2010-04-30,129.7600,132.0000,128.7100,129.0000,79.4626,35378000,0.0000
2010-04-23,130.3800,132.2800,127.7700,129.9900,80.0724,46345200,0.0000
2010-04-16,128.5700,132.1700,127.8400,130.6300,80.4667,35328700,0.0000
2010-04-09,128.3800,129.8000,127.1200,128.7600,79.3148,24394000,0.0000
2010-04-01,129.3000,129.9500,127.5500,128.2500,79.0006,17954900,0.0000
2010-03-26,127.1100,130.7300,126.5700,129.2600,79.6228,31453700,0.0000
2010-03-19,127.4000,128.9300,126.7800,127.7100,78.6680,32679700,0.0000
2010-03-12,127.0600,128.3700,125.2000,127.9400,78.8097,33736000,0.0000
2010-03-05,127.5000,129.0900,125.4700,127.2500,78.3846,29153500,0.0000
2010-02-26,127.3000,128.2700,125.5700,127.1600,78.3292,23624900,0.0000
2010-02-19,124.9100,128.0600,124.1100,127.1900,78.3477,24433700,0.0000
2010-02-12,123.1500,124.2000,121.6100,124.0000,76.3827,30088800,0.5500
2010-02-05,123.2300,126.0700,121.8300,122.9700,75.4079,35063800,0.0000
2010-01-29,126.3300,127.7500,121.9000,122.3900,75.0522,42786400,0.0000
2010-01-22,131.6300,134.2500,125.3700,125.5000,76.9594,48810900,0.0000
2010-01-15,131.0600,132.8900,128.6700,131.7800,80.8104,35873500,0.0000
2010-01-08,131.1800,132.9700,128.9100,130.8500,80.2401,28639800,0.0000
2009-12-31,130.9900,132.8500,130.6800,130.9000,80.2708,18075000,0.0000
2009-12-24,127.8000,130.5700,127.6800,130.5700,80.0684,18700700,0.0000
2009-12-18,129.6500,129.9800,127.0000,127.9100,78.4372,34452500,0.0000
2009-12-11,126.8800,129.7700,126.1100,129.6800,79.5226,29242700,0.0000
2009-12-04,125.1200,128.9000,124.9200,127.2500,78.0325,30307700,0.0000
2009-11-27,127.7000,128.9400,124.2600,125.7000,77.0820,19106900,0.0000
2009-11-20,127.1700,128.6550,126.4600,126.9600,77.8547,23482700,0.0000
2009-11-13,123.9200,127.8000,123.4900,127.0300,77.8976,31065000,0.0000
2009-11-06,120.6100,123.5000,119.5000,123.4900,75.7268,30790900,0.5500
2009-10-30,120.6100,124.3000,119.1500,120.6100,73.6328,38785400,0.0000
2009-10-23,121.7600,124.1100,120.0000,120.3600,73.4801,36292000,0.0000
2009-10-16,125.4400,128.6100,121.2500,121.6400,74.2616,55978800,0.0000
2009-10-09,118.9000,126.0000,118.1300,125.9300,76.8806,37825500,0.0000
2009-10-02,120.5200,122.0000,117.2600,119.0200,72.6621,37380100,0.0000
2009-09-25,121.0300,122.7400,120.1000,121.0800,73.9197,26232600,0.0000
2009-09-18,117.0000,122.8800,116.9400,122.1100,74.5485,40859700,0.0000
2009-09-11,117.9400,119.2500,116.1600,118.0500,72.0699,21828700,0.0000
2009-09-04,117.1000,118.9300,115.1500,117.4600,71.7097,25309900,0.0000
2009-08-28,119.9200,120.8800,117.5100,118.2200,72.1737,26123700,0.0000
2009-08-21,116.6900,120.0100,116.1200,119.9000,73.1993,27622200,0.0000
2009-08-14,118.1700,119.9600,117.3200,118.5700,72.3873,25401100,0.0000
2009-08-07,118.8800,119.9600,116.7000,119.3300,72.8513,27893800,0.5500
2009-07-31,116.9500,119.3700,116.0500,117.9300,71.6608,28085700,0.0000
2009-07-24,114.5300,118.1500,114.3900,117.6400,71.4846,42520000,0.0000
2009-07-17,101.2800,115.5300,100.1900,115.4200,70.1356,58793700,0.0000
2009-07-10,101.5700,102.7800,99.5000,100.8300,61.2699,34208000,0.0000
2009-07-02,105.9900,106.2700,101.7300,101.7300,61.8168,24758400,0.0000
2009-06-26,105.1800,106.7850,103.5100,105.6800,64.2171,30871700,0.0000
2009-06-19,107.6300,109.1400,105.5000,105.8900,64.3447,42930700,0.0000
2009-06-12,106.6400,110.6400,105.5000,108.2100,65.7544,38913000,0.0000
2009-06-05,106.9400,108.8000,105.1100,107.2400,65.1650,35592300,0.0000
2009-05-29,101.3200,106.5000,101.0200,106.2800,64.5817,27330100,0.0000
2009-05-22,102.0000,106.1200,101.7400,101.8900,61.9140,34599500,0.0000
2009-05-15,101.0900,104.3800,100.5700,101.3700,61.5981,42229200,0.0000
2009-05-08,105.2600,106.8200,99.8300,101.4900,61.6710,42691700,0.5500
2009-05-01,99.6100,106.0500,99.2500,104.6100,63.2344,46394300,0.0000
2009-04-24,100.2900,103.8600,98.2000,100.0800,60.4961,59469300,0.0000
2009-04-17,100.2800,102.0400,96.4400,101.2700,61.2155,41711800,0.0000
2009-04-09,100.9000,102.4500,98.5200,101.7000,61.4754,32887100,0.0000
2009-04-03,92.0000,102.6600,91.8000,102.2200,61.7897,64912500,0.0000
